AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,OCC_CODE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
28,Mississippi,2,MS,29-1141,Registered Nurses,"29,400",1.8,25.351,1.19,,,38.21,"79,470",1.4,27.95,30.79,35.8,40.15,50.02,"58,130","64,050","74,470","83,520","104,040",,
29,Missouri,2,MO,29-1141,Registered Nurses,"74,270",1.3,25.452,1.2,,,39.4,"81,950",0.4,28.13,32.13,38.35,44.57,49.59,"58,510","66,830","79,770","92,710","103,140",,
30,Montana,2,MT,29-1141,Registered Nurses,"10,540",1.4,20.666,0.97,,,42.54,"88,480",0.3,32.56,37.41,39.21,48.32,52.62,"67,720","77,800","81,560","100,510","109,450",,
31,Nebraska,2,NE,29-1141,Registered Nurses,"24,180",2,23.801,1.12,,,39.85,"82,890",0.5,30.43,36.74,38.95,44.78,48.8,"63,290","76,430","81,020","93,140","101,500",,
32,Nevada,2,NV,29-1141,Registered Nurses,"27,570",2.2,18.024,0.85,,,49.17,"102,280",0.8,37.48,39.84,49.03,55.14,63.94,"77,960","82,870","101,990","114,690","132,990",,
33,New Hampshire,2,NH,29-1141,Registered Nurses,"16,580",2.6,24.266,1.14,,,45.49,"94,620",0.9,33.29,38.33,46.55,50.72,57.75,"69,250","79,720","96,830","105,500","120,120",,
34,New Jersey,2,NJ,29-1141,Registered Nurses,"95,150",2.2,22.387,1.05,,,51.44,"106,990",0.5,39.26,46.21,49.39,59.2,62.76,"81,670","96,110","102,730","123,130","130,540",,
35,New Mexico,2,NM,29-1141,Registered Nurses,"17,510",2.4,20.343,0.96,,,45.37,"94,360",0.7,33.96,39.72,42.43,50.35,58.27,"70,630","82,630","88,260","104,720","121,200",,
36,New York,2,NY,29-1141,Registered Nurses,"204,120",0.9,21.392,1,,,53.12,"110,490",0.5,37.47,42.96,50.77,60.49,73.76,"77,930","89,360","105,600","125,810","153,420",,
37,North Carolina,2,NC,29-1141,Registered Nurses,"108,510",0.9,22.153,1.04,,,41.48,"86,270",0.4,30.86,35.92,39.36,47.46,51.5,"64,180","74,710","81,860","98,720","107,110",,
38,North Dakota,2,ND,29-1141,Registered Nurses,"11,000",2.2,25.953,1.22,,,39.38,"81,900",1,31.62,32.45,37.62,41.37,47.86,"65,770","67,490","78,260","86,050","99,540",,
39,Ohio,2,OH,29-1141,Registered Nurses,"138,360",0.9,25.037,1.18,,,41.4,"86,110",0.3,31.76,37.22,39.06,46.84,49.83,"66,060","77,420","81,250","97,440","103,650",,
40,Oklahoma,2,OK,29-1141,Registered Nurses,"32,870",1.5,19.426,0.91,,,41.25,"85,800",0.4,30.82,36.21,39.02,46.38,50.64,"64,110","75,320","81,160","96,460","105,320",,
41,Oregon,2,OR,29-1141,Registered Nurses,"39,900",1.6,20.3,0.95,,,57.92,"120,470",0.6,45.69,50.7,59.61,62.89,68.95,"95,040","105,460","123,990","130,800","143,410",,
42,Pennsylvania,2,PA,29-1141,Registered Nurses,"146,840",1.3,24.415,1.15,,,43.67,"90,830",0.5,32.41,37.77,42.12,49.05,56.05,"67,410","78,570","87,610","102,030","116,590",,
44,Rhode Island,2,RI,29-1141,Registered Nurses,"10,760",2.1,21.796,1.02,,,47.96,"99,770",0.8,34.66,40.32,48.06,54.11,61.79,"72,090","83,870","99,960","112,540","128,520",,
45,South Carolina,2,SC,29-1141,Registered Nurses,"50,300",1.2,22.143,1.04,,,40.83,"84,930",0.5,30.87,36.16,38.41,45.42,49.06,"64,200","75,210","79,900","94,480","102,040",,
46,South Dakota,2,SD,29-1141,Registered Nurses,"14,500",1.5,32.017,1.5,,,34.72,"72,210",0.4,24.99,30.05,33.42,38.7,44.5,"51,980","62,510","69,510","80,490","92,570",,
47,Tennessee,2,TN,29-1141,Registered Nurses,"67,990",1.3,20.765,0.98,,,39.43,"82,010",0.5,28.63,32.27,38,42.49,49.06,"59,540","67,110","79,030","88,380","102,040",,
48,Texas,2,TX,29-1141,Registered Nurses,"261,050",1.2,18.853,0.89,,,44.08,"91,690",0.5,31.09,37.24,43.27,49.14,58.69,"64,660","77,450","90,010","102,200","122,060",,
49,Utah,2,UT,29-1141,Registered Nurses,"25,780",1.7,15.078,0.71,,,42.42,"88,240",0.6,32.68,37.04,39.55,48.81,51.42,"67,980","77,030","82,270","101,530","106,960",,
50,Vermont,2,VT,29-1141,Registered Nurses,"7,240",2.2,23.793,1.12,,,44.57,"92,710",0.7,34.06,38.45,40.94,50.05,56.4,"70,840","79,980","85,150","104,110","117,310",,
51,Virginia,2,VA,29-1141,Registered Nurses,"77,420",1.9,19.048,0.89,,,43.72,"90,930",0.5,30.95,37.33,42.7,48.52,59.64,"64,370","77,650","88,820","100,920","124,040",,
53,Washington,2,WA,29-1141,Registered Nurses,"64,690",1.3,18.275,0.86,,,55.64,"115,740",0.4,41.58,47.39,53.93,62.7,71.81,"86,490","98,570","112,180","130,420","149,370",,
54,West Virginia,2,WV,29-1141,Registered Nurses,"21,740",1.3,30.996,1.46,,,38.77,"80,650",0.4,25.51,32.31,38.46,43.94,51.36,"53,060","67,200","79,990","91,400","106,830",,
55,Wisconsin,2,WI,29-1141,Registered Nurses,"64,960",1.4,22.219,1.04,,,43.48,"90,450",0.4,36.04,38.25,41.38,48.4,52.53,"74,970","79,570","86,070","100,680","109,270",,
56,Wyoming,2,WY,29-1141,Registered Nurses,"5,180",2.2,18.6,0.87,,,42.32,"88,020",0.8,31.09,36.32,39.32,48.52,52.09,"64,660","75,540","81,790","100,910","108,350",,
66,Guam,3,GU,29-1141,Registered Nurses,680,3.1,10.952,0.51,,,*,*,*,*,*,*,*,*,*,*,*,*,*,,
72,Puerto Rico,3,PR,29-1141,Registered Nurses,"22,430",1.5,23.87,1.12,,,19.94,"41,470",0.5,14.53,16.67,18.17,21.56,26.82,"30,230","34,670","37,780","44,850","55,780",,
78,Virgin Islands,3,VI,29-1141,Registered Nurses,470,8.7,13.671,0.64,,,35.23,"73,280",1,23.43,30.14,35.53,42.12,42.44,"48,730","62,690","73,890","87,600","88,270",,
