Provider CCN,Hospital Name,State Code,Medicare CBSA Number,cbsa,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,fte_per_1000_days,fte_per_bed,cbsa_str,Facility ID,Facility Name,State,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Safety Group Measure Count,READM Group Measure Count,Pt Exp Group Measure Count,TE Group Measure Count,AREA,AREA_TITLE_msa,PRIM_STATE_msa,TOT_EMP_msa,JOBS_1000_msa,A_MEAN_msa,H_MEAN_msa,PRIM_STATE,TOT_EMP_state,JOBS_1000_state,A_MEAN_state,H_MEAN_state,rn_emp_best,rn_jobs_per_1000_best,rn_wage_best,rn_hourly_best
444032,EAST TENNESSEE BEHAVIORAL HEALTH,TN,28940.0,28940.0,2022-11-15,2023-06-30,77.44,5769.0,90.0,13.423470272144218,0.8604444444444445,28940.0,444032,EAST TENNESSEE BEHAVIORAL HEALTH,TN,37909,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,TN,67990.0,20.765,82010.0,39.43,67990.0,20.765,82010.0,39.43
530034,SUMMIT MEDICAL CENTER  LLC,WY,16220.0,16220.0,2023-01-01,2023-06-30,43.63,91.0,16.0,479.4505494505495,2.726875,16220.0,530034,SUMMIT MEDICAL CENTER,WY,82609,Acute Care Hospitals,Physician,No,,,16,7,8,11,8,12,,,,,,,,WY,5180.0,18.6,88020.0,42.32,5180.0,18.6,88020.0,42.32
230003,COREWELL HEALTH ZEELAND,MI,24340.0,24340.0,2023-01-01,2023-06-30,274.2,3676.0,55.0,74.59194776931446,4.985454545454545,24340.0,230003,COREWELL HEALTH ZEELAND HOSPITAL,MI,49464,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,16,7,8,11,8,12,,,,,,,,MI,104210.0,23.735,90580.0,43.55,104210.0,23.735,90580.0,43.55
030010,CARONDELET ST. MARYS HOSPITAL,AZ,46060.0,46060.0,2022-10-01,2023-06-30,648.72,30889.0,357.0,21.00165107319758,1.8171428571428567,46060.0,030010,ST. MARY'S HOSPITAL,AZ,85745,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3.0,,7,8,11,8,12,,,,,,,,AZ,64430.0,20.155,95230.0,45.79,64430.0,20.155,95230.0,45.79
030011,CARONDELET ST. JOSEPH HOSPITAL,AZ,46060.0,46060.0,2022-10-01,2023-06-30,820.36,40819.0,390.0,20.097503613513314,2.10348717948718,46060.0,030011,ST JOSEPH'S HOSPITAL,AZ,85711,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,AZ,64430.0,20.155,95230.0,45.79,64430.0,20.155,95230.0,45.79
230230,EDWARD W. SPARROW HOSPITAL,MI,29620.0,29620.0,2023-01-01,2023-06-30,4376.38,60970.0,441.0,71.77923568968345,9.923764172335602,29620.0,230230,EDWARD W SPARROW HOSPITAL,MI,48912,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,MI,104210.0,23.735,90580.0,43.55,104210.0,23.735,90580.0,43.55
230208,CARSON CITY HOSPITAL,MI,24340.0,24340.0,2023-01-01,2023-06-30,188.83,715.0,48.0,264.09790209790214,3.933958333333333,24340.0,230208,SPARROW CARSON HOSPITAL,MI,48811,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,4.0,,7,8,11,8,12,,,,,,,,MI,104210.0,23.735,90580.0,43.55,104210.0,23.735,90580.0,43.55
390339,LANCASTER MEDICAL CENTER,PA,25420.0,25420.0,2022-12-06,2023-06-30,293.26,9558.0,100.0,30.682151077631303,2.9326,25420.0,390339,PENN STATE HEALTH LANCASTER MEDICAL CENTER,PA,17601,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,PA,146840.0,24.415,90830.0,43.67,146840.0,24.415,90830.0,43.67
460003,SALT LAKE REGIONAL MEDICAL CENTER,UT,41620.0,41620.0,2023-05-01,2023-06-30,61.12,1024.0,102.0,59.6875,0.5992156862745098,41620.0,460003,HOLY CROSS HOSPITAL - SALT LAKE,UT,84102,Acute Care Hospitals,Proprietary,Yes,,2.0,,7,8,11,8,12,,,,,,,,UT,25780.0,15.078,88240.0,42.42,25780.0,15.078,88240.0,42.42
250172,DELTA HEALTH-HIGHLAND HILLS,MS,32820.0,32820.0,2022-10-01,2023-04-30,67.22,552.0,15.0,121.77536231884058,4.481333333333334,32820.0,250172,HIGHLAND HILLS MEDICAL CENTER,MS,38668,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,MS,29400.0,25.351,79470.0,38.21,29400.0,25.351,79470.0,38.21
344034,DOROTHEA DIX BEHAVIORAL HEALTH,NC,99934.0,99934.0,2022-10-01,2023-06-30,49.11,4694.0,37.0,10.46229228802727,1.3272972972972972,99934.0,344034,APPALACHIAN REGIONAL BEHAVIORAL HEALTHCARE,NC,28646,Psychiatric,Voluntary non-profit - Private,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,NC,108510.0,22.153,86270.0,41.48,108510.0,22.153,86270.0,41.48
510012,PLEASANT VALLEY HOSPITAL,WV,99951.0,99951.0,2022-10-01,2023-09-30,309.84,6206.0,43.0,49.92587818240412,7.205581395348837,99951.0,510012,RIVERS HEALTH,WV,25550,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1.0,,7,8,11,8,12,,,,,,,,WV,21740.0,30.996,80650.0,38.77,21740.0,30.996,80650.0,38.77
250043,NESHOBA COUNTY GENERAL HOSPITAL,MS,99925.0,99925.0,2022-10-01,2023-09-30,290.47,2355.0,38.0,123.34182590233549,7.643947368421053,99925.0,250043,NESHOBA COUNTY GENERAL HOSPITAL,MS,39350,Acute Care Hospitals,Government - Local,Yes,,4.0,,7,8,11,8,12,,,,,,,,MS,29400.0,25.351,79470.0,38.21,29400.0,25.351,79470.0,38.21
014012,MARY S HARPER GERIATRIC PSYCH CEN,AL,46220.0,46220.0,2022-10-01,2023-09-30,335.29,23518.0,126.0,14.256739518666553,2.661031746031746,46220.0,014012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,AL,35401,Psychiatric,Government - State,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,AL,53340.0,25.503,74970.0,36.04,53340.0,25.503,74970.0,36.04
110161,NORTHSIDE HOSPITAL,GA,12060.0,12060.0,2022-10-01,2023-09-30,9885.66,227906.0,673.0,43.37604099935938,14.68894502228826,12060.0,110161,NORTHSIDE HOSPITAL,GA,30342,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
130025,MADISON MEMORIAL HOSPITAL,ID,99913.0,99913.0,2022-10-01,2023-09-30,535.48,7711.0,53.0,69.44365192582026,10.103396226415096,99913.0,130025,MADISON MEMORIAL HOSPITAL,ID,83440,Acute Care Hospitals,Government - Local,Yes,,,16,7,8,11,8,12,,,,,,,,ID,14540.0,17.214,89770.0,43.16,14540.0,17.214,89770.0,43.16
010051,GREENE COUNTY HOSPITAL,AL,46220.0,46220.0,2022-10-01,2023-09-30,53.11,1878.0,20.0,28.280085197018103,2.6555,46220.0,010051,GREENE COUNTY HOSPITAL,AL,35462,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,,16,7,8,11,8,12,,,,,,,,AL,53340.0,25.503,74970.0,36.04,53340.0,25.503,74970.0,36.04
250018,JASPER GENERAL HOSPITAL,MS,99925.0,99925.0,2022-10-01,2023-09-30,82.64,1709.0,20.0,48.35576360444704,4.132,99925.0,250018,JASPER GENERAL HOSPITAL,MS,39422,Acute Care Hospitals,Government - Local,No,,,16,7,8,11,8,12,,,,,,,,MS,29400.0,25.351,79470.0,38.21,29400.0,25.351,79470.0,38.21
110111,UNIVERSITY HOSPITAL MCDUFFIE,GA,12260.0,12260.0,2023-01-01,2023-06-30,114.79,2045.0,25.0,56.1320293398533,4.591600000000001,12260.0,110111,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER,GA,30824,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
420072,HAMPTON REGIONAL MEDICAL CENTER,SC,99942.0,99942.0,2022-10-01,2023-09-30,190.19,2366.0,32.0,80.38461538461539,5.9434375,99942.0,420072,HAMPTON REGIONAL MEDICAL CENTER,SC,29944,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,SC,50300.0,22.143,84930.0,40.83,50300.0,22.143,84930.0,40.83
140052,OSF SAINT ANTHONYS HEALTH CENTER,IL,41180.0,41180.0,2022-10-01,2023-09-30,365.09,8420.0,49.0,43.35985748218527,7.450816326530612,41180.0,140052,OSF SAINT ANTHONY'S HEALTH CENTER,IL,62002,Acute Care Hospitals,Voluntary non-profit - Church,No,,3.0,,7,8,11,8,12,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
420067,BEAUFORT MEMORIAL HOSPITAL,SC,25940.0,25940.0,2022-10-01,2023-09-30,1395.62,32047.0,167.0,43.54916216806565,8.357005988023952,25940.0,420067,BEAUFORT COUNTY MEMORIAL HOSPITAL,SC,29902,Acute Care Hospitals,Government - Local,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,SC,50300.0,22.143,84930.0,40.83,50300.0,22.143,84930.0,40.83
031313,CARONDELET HOLY CROSS HOSPITAL,AZ,99903.0,99903.0,2022-10-01,2023-06-30,117.3,2257.0,25.0,51.97164377492246,4.692,99903.0,031313,HOLY CROSS HOSPITAL,AZ,85621,Critical Access Hospitals,Proprietary,Yes,Y,,16,7,8,11,8,12,,,,,,,,AZ,64430.0,20.155,95230.0,45.79,64430.0,20.155,95230.0,45.79
070031,THE GRIFFIN HOSPITAL,CT,35300.0,35300.0,2022-10-01,2023-09-30,1317.67,30330.0,101.0,43.44444444444444,13.046237623762377,35300.0,070031,GRIFFIN HOSPITAL,CT,6418,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,CT,39020.0,23.198,103670.0,49.84,39020.0,23.198,103670.0,49.84
454156,VOYAGES OF SUGAR LAND BH,TX,26420.0,26420.0,2023-02-01,2023-06-30,69.03,2865.0,60.0,24.094240837696336,1.1505,26420.0,454156,VOYAGES BEHAVIORAL HEALTH OF SUGAR LAND,TX,77498,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,TX,261050.0,18.853,91690.0,44.08,261050.0,18.853,91690.0,44.08
131302,NORTH CANYON MEDICAL CENTER,ID,99913.0,99913.0,2022-10-01,2023-09-30,271.34,1251.0,16.0,216.89848121502797,16.95875,99913.0,131302,NORTH CANYON MEDICAL CENTER,ID,83330,Critical Access Hospitals,Voluntary non-profit - Private,No,,,16,7,8,11,8,12,,,,,,,,ID,14540.0,17.214,89770.0,43.16,14540.0,17.214,89770.0,43.16
250097,SOUTHWEST MS REGIONAL MED CENTER,MS,99925.0,99925.0,2022-10-01,2023-09-30,824.95,18522.0,97.0,44.53892668178383,8.504639175257733,99925.0,250097,SOUTHWEST MS REGIONAL MEDICAL CENTER,MS,39649,Acute Care Hospitals,Government - Local,Yes,Y,1.0,,7,8,11,8,12,,,,,,,,MS,29400.0,25.351,79470.0,38.21,29400.0,25.351,79470.0,38.21
490115,TWIN COUNTY REGIONAL HOSPITAL,VA,99949.0,99949.0,2022-10-01,2023-09-30,310.1,8178.0,141.0,37.91880655416972,2.199290780141844,99949.0,490115,TWIN COUNTY REGIONAL HOSPITAL,VA,24333,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,VA,77420.0,19.048,90930.0,43.72,77420.0,19.048,90930.0,43.72
514011,HIGHLAND CLARKSBURG HOSPITAL INC,WV,,,2022-10-01,2023-09-30,,,,,,,514011,"HIGHLAND-CLARKSBURG HOSPITAL, INC",WV,26301,Psychiatric,Voluntary non-profit - Private,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,WV,21740.0,30.996,80650.0,38.77,21740.0,30.996,80650.0,38.77
010034,COMMUNITY HOSPITAL INC.,AL,33860.0,33860.0,2022-10-01,2023-09-30,125.84,2416.0,37.0,52.08609271523179,3.401081081081081,33860.0,010034,COMMUNITY HOSPITAL INC,AL,36078,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,AL,53340.0,25.503,74970.0,36.04,53340.0,25.503,74970.0,36.04
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCAR,IL,99914.0,99914.0,2022-10-01,2023-09-30,561.08,15696.0,89.0,35.7466870540265,6.304269662921349,99914.0,140110,OSF SAINT ELIZABETH MDL CTR,IL,61350,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,IL,139900.0,23.066,91130.0,43.81,139900.0,23.066,91130.0,43.81
241376,GLACIAL RIDGE HOSPITAL,MN,99924.0,99924.0,2022-10-01,2023-09-30,232.47,2462.0,19.0,94.42323314378554,12.235263157894735,99924.0,241376,GLACIAL RIDGE HOSPITAL,MN,56334,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,MN,64740.0,22.167,99460.0,47.82,64740.0,22.167,99460.0,47.82
471301,GIFFORD MEDICAL CENTER,VT,99947.0,99947.0,2022-10-01,2023-09-30,309.9,3582.0,25.0,86.51591289782245,12.396,99947.0,471301,GIFFORD MEDICAL CENTER,VT,5060,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,4.0,,7,8,11,8,12,,,,,,,,VT,7240.0,23.793,92710.0,44.57,7240.0,23.793,92710.0,44.57
421301,ABBEVILLE AREA MEDICAL CENTER,SC,99942.0,99942.0,2022-10-01,2023-09-30,150.91,3330.0,25.0,45.31831831831832,6.0364,99942.0,421301,ABBEVILLE AREA MEDICAL CENTER,SC,29620,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,,16,7,8,11,8,12,,,,,,,,SC,50300.0,22.143,84930.0,40.83,50300.0,22.143,84930.0,40.83
490005,WINCHESTER MEDICAL CENTER,VA,49020.0,49020.0,2022-10-01,2023-09-30,2360.84,116362.0,455.0,20.288754060603974,5.188659340659341,49020.0,490005,WINCHESTER MEDICAL CENTER,VA,22601,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,VA,77420.0,19.048,90930.0,43.72,77420.0,19.048,90930.0,43.72
521348,VERNON MEMORIAL HOSPITAL,WI,99952.0,99952.0,2022-10-01,2023-09-30,297.28,2739.0,18.0,108.53596202993792,16.515555555555554,99952.0,521348,VERNON MEMORIAL HOSPITAL,WI,54665,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,WI,64960.0,22.219,90450.0,43.48,64960.0,22.219,90450.0,43.48
013301,USA CHILDRENS AND WOMENS HOSPITAL,AL,33660.0,33660.0,2022-10-01,2023-09-30,1255.53,61088.0,245.0,20.5528090623363,5.124612244897959,33660.0,013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,AL,36604,Childrens,Government - State,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,AL,53340.0,25.503,74970.0,36.04,53340.0,25.503,74970.0,36.04
110121,GRADY GENERAL HOSPITAL,GA,99911.0,99911.0,2022-10-01,2023-09-30,142.15,4259.0,44.0,33.376379431791506,3.2306818181818184,99911.0,110121,GRADY GENERAL HOSPITAL,GA,39828,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,,16,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
111331,MITCHELL COUNTY HOSPITAL,GA,99911.0,99911.0,2022-10-01,2023-09-30,129.64,4264.0,25.0,30.403377110694183,5.185599999999999,99911.0,111331,ARCHBOLD MITCHELL,GA,31730,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
340008,SCOTLAND MEMORIAL HOSPITAL,NC,99934.0,99934.0,2022-10-01,2023-09-30,809.99,25475.0,104.0,31.795485770363097,7.788365384615385,99934.0,340008,SCOTLAND MEMORIAL HOSPITAL,NC,28352,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,NC,108510.0,22.153,86270.0,41.48,108510.0,22.153,86270.0,41.48
490033,WARREN MEMORIAL HOSPITAL,VA,47894.0,47894.0,2022-10-01,2023-09-30,315.17,6439.0,36.0,48.94704146606616,8.754722222222222,47894.0,490033,WARREN MEMORIAL HOSPITAL,VA,22630,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3.0,,7,8,11,8,12,,,,,,,,VA,77420.0,19.048,90930.0,43.72,77420.0,19.048,90930.0,43.72
030138,WESTERN REGIONAL MEDICAL CENTER,AZ,38060.0,38060.0,2022-10-01,2023-09-30,365.28,2309.0,38.0,158.19835426591598,9.612631578947369,38060.0,030138,WESTERN REGIONAL MEDICAL CENTER,AZ,85338,Acute Care Hospitals,Proprietary,No,,5.0,,7,8,11,8,12,,,,,,,,AZ,64430.0,20.155,95230.0,45.79,64430.0,20.155,95230.0,45.79
110038,JOHN D. ARCHBOLD MEMORIAL HOSPITAL,GA,99911.0,99911.0,2022-10-01,2023-09-30,1430.6,42254.0,199.0,33.85714961897098,7.18894472361809,99911.0,110038,ARCHBOLD MEMORIAL HOSPITAL,GA,31792,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
130071,ST. LUKES NAMPA MEDICAL CENTER,ID,14260.0,14260.0,2022-10-01,2023-09-30,853.62,18832.0,87.0,45.32816482582837,9.811724137931035,14260.0,130071,ST LUKE'S NAMPA MEDICAL CENTER,ID,83687,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12,,,,,,,,ID,14540.0,17.214,89770.0,43.16,14540.0,17.214,89770.0,43.16
201312,WALDO COUNTY GENERAL HOSPITAL,ME,99920.0,99920.0,2022-10-01,2023-09-30,520.5,7508.0,25.0,69.32605221097496,20.82,99920.0,201312,MAINEHEALTH WALDO HOSPITAL,ME,4915,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,ME,16280.0,25.626,87440.0,42.04,16280.0,25.626,87440.0,42.04
340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,NC,99934.0,99934.0,2022-10-01,2023-09-30,468.3,15309.0,154.0,30.589849108367627,3.040909090909091,99934.0,340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,NC,28472,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,1.0,,7,8,11,8,12,,,,,,,,NC,108510.0,22.153,86270.0,41.48,108510.0,22.153,86270.0,41.48
421304,EDGEFIELD COUNTY HEALTHCARE,SC,12260.0,12260.0,2022-10-01,2023-09-30,108.99,3944.0,25.0,27.63438133874239,4.3596,12260.0,421304,EDGEFIELD COUNTY HEALTHCARE AN AFFILIATE OF SELF R,SC,29384,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12,,,,,,,,SC,50300.0,22.143,84930.0,40.83,50300.0,22.143,84930.0,40.83
010021,DALE MEDICAL CENTER,AL,99901.0,99901.0,2022-10-01,2023-09-30,272.1,6458.0,77.0,42.13378755032518,3.533766233766234,99901.0,010021,DALE MEDICAL CENTER,AL,36360,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,3.0,,7,8,11,8,12,,,,,,,,AL,53340.0,25.503,74970.0,36.04,53340.0,25.503,74970.0,36.04
014014,BAYPOINTE BEHAVIORAL HEALTH,AL,,,2022-10-01,2023-09-30,,,,,,,014014,BAYPOINTE BEHAVIORAL HEALTH,AL,36693,Psychiatric,Voluntary non-profit - Other,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,AL,53340.0,25.503,74970.0,36.04,53340.0,25.503,74970.0,36.04
050169,PIH HEALTH WHITTIER HOSPITAL,CA,31084.0,31084.0,2022-10-01,2023-09-30,2908.82,96597.0,405.0,30.112943466153197,7.182271604938272,31084.0,050169,PIH HEALTH HOSPITAL-WHITTIER,CA,90602,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,CA,326720.0,18.093,148330.0,71.31,326720.0,18.093,148330.0,71.31
050393,PIH HEALTH HOSPITAL - DOWNEY,CA,31084.0,31084.0,2022-10-01,2023-09-30,991.11,32090.0,133.0,30.88532253038329,7.451954887218045,31084.0,050393,PIH HEALTH DOWNEY HOSPITAL,CA,90241,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3.0,,7,8,11,8,12,,,,,,,,CA,326720.0,18.093,148330.0,71.31,326720.0,18.093,148330.0,71.31
110233,SOUTHEASTERN REGIONAL MEDICAL CENTER,GA,12060.0,12060.0,2022-10-01,2023-09-30,586.73,4392.0,50.0,133.5906193078324,11.7346,12060.0,110233,"SOUTHEASTERN REGIONAL MEDICAL CENTER, INC",GA,30265,Acute Care Hospitals,Proprietary,No,,4.0,,7,8,11,8,12,,,,,,,,GA,97410.0,20.059,91960.0,44.21,97410.0,20.059,91960.0,44.21
200021,MID COAST HOSPITAL,ME,38860.0,38860.0,2022-10-01,2023-09-30,1047.53,25928.0,93.0,40.40149645171243,11.263763440860217,38860.0,200021,MID COAST HOSPITAL,ME,4011,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12,,,,,,,,ME,16280.0,25.626,87440.0,42.04,16280.0,25.626,87440.0,42.04
220084,EMERSON HOSPITAL,MA,15764.0,15764.0,2022-10-01,2023-09-30,1090.0,26943.0,111.0,40.45577701072635,9.81981981981982,15764.0,220084,EMERSON HOSPITAL -,MA,1742,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12,,,,,,,,MA,90190.0,24.759,112610.0,54.14,90190.0,24.759,112610.0,54.14
