Provider CCN,Hospital Name,State Code,Medicare CBSA Number,cbsa,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,fte_per_1000_days,fte_per_bed
301303,WEEKS MEDICAL CENTER,NH,99930.0,99930,2022-10-01,2023-09-30,173.64,3145.0,25.0,55.211446740858506,6.9456
340024,SAMPSON REGIONAL MEDICAL CENTER,NC,99934.0,99934,2022-10-01,2023-09-30,408.39,8915.0,67.0,45.809310151430175,6.095373134328358
340070,ALAMANCE REGIONAL MEDICAL CENTER,NC,15500.0,15500,2022-10-01,2023-09-30,1189.82,48162.0,176.0,24.704538848054483,6.760340909090909
340142,CARTERET COUNTY GENERAL HOSPITAL COM,NC,99934.0,99934,2022-10-01,2023-09-30,957.31,28723.0,99.0,33.32903944574034,9.669797979797979
461310,BLUE MOUNTAIN HOSPITAL,UT,99946.0,99946,2022-10-01,2023-09-30,97.86,1418.0,11.0,69.01269393511988,8.896363636363636
491302,CARILION GILES COMMUNITY HOSPITAL,VA,13980.0,13980,2022-10-01,2023-09-30,190.12,5893.0,25.0,32.2620057695571,7.6048
491304,CARILION ROCKBRIDGE COMMUNITY HOSP,VA,99949.0,99949,2022-10-01,2023-09-30,223.17,4867.0,25.0,45.85370865009246,8.9268
070021,WINDHAM COMMUNITY MEMORIAL HOSPITAL,CT,49340.0,49340,2022-10-01,2023-09-30,458.47,7413.0,46.0,61.84675569944692,9.966739130434783
100022,JACKSON MEMORIAL,FL,33124.0,33124,2022-10-01,2023-09-30,13922.05,403664.0,1608.0,34.48920389234611,8.657991293532337
100087,SARASOTA MEMORIAL HOSPITAL,FL,35840.0,35840,2022-10-01,2023-09-30,4560.15,224423.0,786.0,20.319441411976488,5.801717557251908
140100,MIDWESTERN REGIONAL MEDICAL CENTER,IL,29404.0,29404,2022-10-01,2023-09-30,521.51,3380.0,73.0,154.29289940828403,7.143972602739726
190065,BATON ROUGE GENERAL,LA,12940.0,12940,2022-10-01,2023-09-30,2134.21,68363.0,256.0,31.218787940845196,8.3367578125
190111,WILLIS-KNIGHTON HEALTH SYSTEMS,LA,43340.0,43340,2022-10-01,2023-09-30,4668.95,163558.0,674.0,28.546142652759265,6.927225519287833
201302,LINCOLNHEALTH,ME,99920.0,99920,2022-10-01,2023-09-30,320.28,7331.0,25.0,43.688446323830306,12.8112
220135,FALMOUTH HOSPITAL,MA,12700.0,12700,2022-10-01,2023-09-30,612.59,22144.0,81.0,27.66392702312139,7.56283950617284
250104,JEFF ANDERSON REGIONAL MEDICAL CENTE,MS,99925.0,99925,2022-10-01,2023-09-30,1188.35,34574.0,270.0,34.37120379475907,4.401296296296296
251304,TALLAHATCHIE CRITICAL ACCESS HOSPITA,MS,99925.0,99925,2022-10-01,2023-09-30,275.81,4391.0,18.0,62.81257116829879,15.322777777777778
301307,MEMORIAL HOSPITAL,NH,99930.0,99930,2022-10-01,2023-09-30,336.81,6374.0,25.0,52.84122999686225,13.4724
301310,ANDROSCOGGIN VALLEY HOSPITAL,NH,99930.0,99930,2022-10-01,2023-09-30,239.82,4230.0,25.0,56.695035460992905,9.5928
380005,ASHLAND COMMUNITY HOSPITAL,OR,32780.0,32780,2022-10-01,2023-09-30,59.58,6372.0,41.0,9.350282485875706,1.453170731707317
470012,SOUTHWESTERN VERMONT MEDICAL CENTER,VT,99947.0,99947,2022-10-01,2023-09-30,822.77,12291.0,53.0,66.94085102920836,15.523962264150944
521343,STOUGHTON HOSPITAL ASSOCIATION,WI,31540.0,31540,2022-10-01,2023-09-30,235.71,2148.0,20.0,109.73463687150839,11.7855
521347,WESTERN WISCONSIN HEALTH,WI,33460.0,33460,2022-10-01,2023-09-30,225.86,2856.0,25.0,79.08263305322129,9.0344
040119,WHITE RIVER MEDICAL CENTER,AR,99904.0,99904,2022-10-01,2023-09-30,2917.32,32536.0,170.0,89.66437177280551,17.160705882352943
041332,UNITY HEALTH - NEWPORT,AR,99904.0,99904,2022-10-01,2023-09-30,180.24,5252.0,24.0,34.31835491241432,7.510000000000001
100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,FL,36740.0,36740,2022-10-01,2023-09-30,1437.81,53577.0,172.0,26.836329021781737,8.359360465116279
101311,MADISON MEMORIAL HOSPITAL,FL,99910.0,99910,2022-10-01,2023-09-30,98.79,2568.0,25.0,38.4696261682243,3.9516000000000004
110001,HAMILTON MEDICAL CENTER,GA,19140.0,19140,2022-10-01,2023-09-30,1506.9,44136.0,239.0,34.14219684611202,6.305020920502092
110005,NORTHSIDE HOSPITAL FORSYTH,GA,12060.0,12060,2022-10-01,2023-09-30,3194.8,116958.0,376.0,27.31578857367602,8.496808510638298
110008,NORTHSIDE HOSPITAL-CHEROKEE  INC.,GA,12060.0,12060,2022-10-01,2023-09-30,3051.01,96512.0,325.0,31.612752818302393,9.387723076923077
110029,NORTHEAST GEORGIA MEDICAL CENTER,GA,23580.0,23580,2022-10-01,2023-09-30,5769.49,222981.0,657.0,25.874357007996196,8.781567732115677
110032,STEPHENS COUNTY HOSPITAL,GA,99911.0,99911,2022-10-01,2023-09-30,214.2,5079.0,40.0,42.173656231541635,5.3549999999999995
110045,NGMC BARROW,GA,12060.0,12060,2022-10-01,2023-09-30,169.97,4130.0,38.0,41.15496368038741,4.472894736842105
110087,NORTHSIDE HOSPITAL - GWINNETT,GA,12060.0,12060,2022-10-01,2023-09-30,4593.49,174688.0,440.0,26.29539521890456,10.43975
110092,DODGE COUNTY HOSPITAL,GA,99911.0,99911,2022-10-01,2023-09-30,167.47,2859.0,41.0,58.576425323539695,4.084634146341464
110095,TIFT REGIONAL MEDICAL CENTER,GA,99911.0,99911,2022-10-01,2023-09-30,1594.7,50085.0,181.0,31.83987221723071,8.810497237569061
110105,COLQUITT REGIONAL MEDICAL CENTER,GA,99911.0,99911,2022-10-01,2023-09-30,1238.88,30151.0,100.0,41.08918443832709,12.388800000000002
110122,SOUTH GEORGIA MEDICAL CENTER,GA,46660.0,46660,2022-10-01,2023-09-30,2285.93,68381.0,261.0,33.42931516064403,8.758352490421455
141310,MENDOTA COMMUNITY HOSPITAL,IL,99914.0,99914,2022-10-01,2023-09-30,148.75,2589.0,25.0,57.454615681730395,5.95
190151,RICHLAND PARISH HOSPITAL SERVICE DIS,LA,99919.0,99919,2022-10-01,2023-09-30,175.29,1999.0,38.0,87.6888444222111,4.612894736842105
191315,HARDTNER MEDICAL CENTER,LA,99919.0,99919,2022-10-01,2023-09-30,185.38,1846.0,25.0,100.42253521126761,7.4152
201315,STEPHENS MEMORIAL HOSPITAL - CAH,ME,99920.0,99920,2022-10-01,2023-09-30,355.16,6361.0,25.0,55.83398836660903,14.2064
251325,COVINGTON COUNTY HOSPITAL,MS,25620.0,25620,2022-10-01,2023-09-30,239.39,5236.0,25.0,45.72001527883881,9.5756
331302,ELIZABETHTOWN COMMUNITY HOSPITAL,NY,99933.0,99933,2022-10-01,2023-09-30,249.6,5067.0,25.0,49.2599171107164,9.984
371301,PRAGUE COMMUNITY HOSPITAL,OK,99937.0,99937,2022-10-01,2023-09-30,49.67,3036.0,25.0,16.36034255599473,1.9868000000000001
371309,PAWHUSKA HOSPITAL  INC.,OK,46140.0,46140,2022-10-01,2023-09-30,82.64,4717.0,25.0,17.519609921560313,3.3056
450104,GUADALUPE REGIONAL MEDICAL CENTER,TX,41700.0,41700,2022-10-01,2023-09-30,635.6,12396.0,117.0,51.27460471119716,5.432478632478633
450137,BAYLOR S&W ALL SAINTS MEDICAL CENTER,TX,23104.0,23104,2022-10-01,2023-09-30,1893.73,114206.0,451.0,16.58170323800851,4.198957871396896
450399,BROWNFIELD REGIONAL MEDICAL CENTER,TX,99945.0,99945,2022-10-01,2023-09-30,139.88,1183.0,26.0,118.24175824175823,5.38
450465,MATAGORDA REGIONAL MEDICAL CENTER,TX,99945.0,99945,2022-10-01,2023-09-30,293.3,5014.0,45.0,58.496210610291186,6.517777777777778
521316,TRI-COUNTY MEMORIAL HOSPITAL  INC.,WI,99952.0,99952,2023-01-01,2023-09-30,137.73,2423.0,25.0,56.84275691291787,5.5092
010005,MARSHALL MEDICAL CENTERS SOUTH,AL,99901.0,99901,2022-10-01,2023-09-30,1360.93,34258.0,182.0,39.72590343861288,7.477637362637363
010018,CALLAHAN EYE FOUNDATION HOSP,AL,13820.0,13820,2022-10-01,2023-09-30,274.42,262.0,6.0,1047.404580152672,45.73666666666667
010029,EAST ALABAMA MEDICAL CENTER,AL,12220.0,12220,2022-10-01,2023-09-30,2105.4,74099.0,265.0,28.413338911456297,7.9449056603773585
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,13820.0,13820,2022-10-01,2023-09-30,11410.68,378946.0,1149.0,30.111625403091733,9.930966057441253
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,23460.0,23460,2022-10-01,2023-09-30,803.92,43720.0,175.0,18.387923147301006,4.593828571428571
010045,FAYETTE MEDICAL CENTER,AL,99901.0,99901,2022-10-01,2023-09-30,170.59,2884.0,35.0,59.150485436893206,4.874
010055,FLOWERS HOSPITAL,AL,20020.0,20020,2022-10-01,2023-09-30,1030.18,58162.0,194.0,17.712251985832673,5.310206185567011
010062,WIREGRASS MEDICAL CENTER,AL,20020.0,20020,2022-10-01,2023-09-30,150.14,3374.0,33.0,44.499110847658564,4.549696969696969
010073,CLAY COUNTY HOSPITAL,AL,99901.0,99901,2022-10-01,2023-09-30,163.45,4052.0,46.0,40.338104639684104,3.553260869565217
010092,DCH REGIONAL MEDICAL CENTER,AL,46220.0,46220,2022-10-01,2023-09-30,3125.9,116499.0,398.0,26.83198997416287,7.854020100502513
010095,HALE COUNTY HOSPITAL,AL,46220.0,46220,2022-10-01,2023-09-30,86.59,1904.0,28.0,45.47794117647059,3.0925000000000002
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,99901.0,99901,2022-10-01,2023-09-30,186.86,3409.0,46.0,54.81372836608977,4.062173913043479
010102,JOHN PAUL JONES HOSPITAL,AL,99901.0,99901,2022-10-01,2023-09-30,37.9,199.0,21.0,190.45226130653265,1.8047619047619048
010112,WHITFIELD REGIONAL HOSPITAL,AL,99901.0,99901,2022-10-01,2023-09-30,249.33,8562.0,47.0,29.12053258584443,5.304893617021277
041307,CROSSRIDGE COMMUNITY HOSPITAL,AR,99904.0,99904,2022-10-01,2023-09-30,126.93,2542.0,15.0,49.93312352478364,8.462
050503,SCRIPPS MEMORIAL HOSPITAL-ENCINITAS,CA,41740.0,41740,2022-10-01,2023-09-30,1361.4,60601.0,177.0,22.464975825481428,7.691525423728814
074008,NATCHAUG HOSPITAL,CT,25540.0,25540,2022-10-01,2023-09-30,359.26,17508.0,59.0,20.519762394334016,6.089152542372881
100019,HOLMES REGL MEDICAL CENTER,FL,37340.0,37340,2022-10-01,2023-09-30,2227.12,141685.0,550.0,15.718812859512298,4.049309090909091
100177,CAPE CANAVERAL HOSPITAL INC,FL,37340.0,37340,2022-10-01,2023-09-30,550.05,26569.0,150.0,20.702698633746092,3.667
103026,ST CATHERINES REHAB HOSPITAL,FL,33124.0,33124,2022-10-01,2023-09-30,57.76,9998.0,60.0,5.777155431086217,0.9626666666666667
131322,FRANKLIN COUNTY MEDICAL CENTER,ID,30860.0,30860,2022-10-01,2023-09-30,203.52,2588.0,20.0,78.63987635239567,10.176
131323,ST. LUKES WOOD RIVER MEDICAL CENTER,ID,99913.0,99913,2022-10-01,2023-09-30,286.87,2639.0,25.0,108.70405456612353,11.4748
250085,MARION GENERAL HOSPITAL,MS,99925.0,99925,2022-10-01,2023-09-30,104.7,3852.0,49.0,27.180685358255452,2.136734693877551
251308,PONTOTOC HEALTH SERVICES,MS,99925.0,99925,2022-10-01,2023-09-30,177.96,4815.0,25.0,36.9595015576324,7.1184
251309,FIELD MEMORIAL COMMUNITY HOSPITAL,MS,99925.0,99925,2022-10-01,2023-09-30,117.99,3310.0,16.0,35.646525679758305,7.374375
251334,CHOCTAW REGIONAL MEDICAL CENTER,MS,99925.0,99925,2022-10-01,2023-09-30,142.33,1846.0,15.0,77.10184182015169,9.488666666666667
301302,LITTLETON REGIONAL HEALTHCARE,NH,99930.0,99930,2022-10-01,2023-09-30,434.35,4572.0,25.0,95.00218722659667,17.374000000000002
