AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,OCC_CODE,TOT_EMP,JOBS_1000,A_MEAN,H_MEAN,EMP_PRSE,LOC_QUOTIENT
14010,"Bloomington, IL",4,IL,29-1141,1590,17.687,81310,39.09,1.4,0.83
14020,"Bloomington, IN",4,IN,29-1141,1460,19.953,84000,40.39,1.8,0.94
14260,"Boise City, ID",4,ID,29-1141,6970,18.022,92930,44.68,2.3,0.85
14460,"Boston-Cambridge-Newton, MA-NH",4,MA,29-1141,66440,24.537,115710,55.63,1.6,1.15
14500,"Boulder, CO",4,CO,29-1141,3140,16.039,101900,48.99,2.3,0.75
14540,"Bowling Green, KY",4,KY,29-1141,1640,20.428,79570,38.26,2.5,0.96
14580,"Bozeman, MT",4,MT,29-1141,980,13.661,94750,45.55,2.6,0.64
14740,"Bremerton-Silverdale-Port Orchard, WA",4,WA,29-1141,1290,13.824,110460,53.11,2.2,0.65
14860,"Bridgeport-Stamford-Danbury, CT",4,CT,29-1141,8480,21.084,108960,52.39,2.4,0.99
15180,"Brownsville-Harlingen, TX",4,TX,29-1141,3030,19.252,78490,37.73,2.8,0.9
15260,"Brunswick-St. Simons, GA",4,GA,29-1141,990,21.381,80430,38.67,2.1,1.0
15380,"Buffalo-Cheektowaga, NY",4,NY,29-1141,13870,26.07,96740,46.51,1.5,1.22
15500,"Burlington, NC",4,NC,29-1141,1070,15.687,85540,41.12,2.9,0.74
15540,"Burlington-South Burlington, VT",4,VT,29-1141,3060,25.205,95450,45.89,2.8,1.18
15940,"Canton-Massillon, OH",4,OH,29-1141,4100,24.83,80770,38.83,1.3,1.17
15980,"Cape Coral-Fort Myers, FL",4,FL,29-1141,6560,21.837,87020,41.84,2.0,1.03
16020,"Cape Girardeau, MO-IL",4,MO,29-1141,1520,34.036,83370,40.08,1.5,1.6
16180,"Carson City, NV",4,NV,29-1141,730,23.57,99870,48.01,2.3,1.11
16220,"Casper, WY",4,WY,29-1141,870,21.835,82830,39.82,3.2,1.03
16300,"Cedar Rapids, IA",4,IA,29-1141,2690,19.352,78580,37.78,1.8,0.91
16540,"Chambersburg, PA",4,PA,29-1141,1000,17.341,93530,44.97,2.5,0.81
16580,"Champaign-Urbana, IL",4,IL,29-1141,3740,35.702,86380,41.53,0.6,1.68
16620,"Charleston, WV",4,WV,29-1141,4060,38.034,80490,38.7,1.9,1.79
16700,"Charleston-North Charleston, SC",4,SC,29-1141,9560,24.623,88540,42.57,1.7,1.16
16740,"Charlotte-Concord-Gastonia, NC-SC",4,NC,29-1141,25440,18.977,89150,42.86,1.4,0.89
16820,"Charlottesville, VA",4,VA,29-1141,2850,25.293,94600,45.48,1.5,1.19
16860,"Chattanooga, TN-GA",4,TN,29-1141,5940,22.064,80740,38.82,1.3,1.04
16940,"Cheyenne, WY",4,WY,29-1141,1040,21.944,98480,47.34,3.4,1.03
16980,"Chicago-Naperville-Elgin, IL-IN",4,IL,29-1141,100620,22.49,94580,45.47,1.5,1.06
17020,"Chico, CA",4,CA,29-1141,2490,31.837,133870,64.36,1.0,1.5
17140,"Cincinnati, OH-KY-IN",4,OH,29-1141,27870,25.514,87210,41.93,1.6,1.2
17300,"Clarksville, TN-KY",4,TN,29-1141,1610,15.965,78780,37.88,2.9,0.75
17410,"Cleveland, OH",4,OH,29-1141,28100,27.104,89950,43.24,1.2,1.27
17420,"Cleveland, TN",4,TN,29-1141,560,12.604,81590,39.23,5.2,0.59
17660,"Coeur d'Alene, ID",4,ID,29-1141,1620,22.58,93170,44.79,2.4,1.06
17780,"College Station-Bryan, TX",4,TX,29-1141,2660,20.097,83520,40.15,2.5,0.94
17820,"Colorado Springs, CO",4,CO,29-1141,7290,22.862,90930,43.72,2.0,1.07
17860,"Columbia, MO",4,MO,29-1141,3640,34.411,82620,39.72,1.6,1.62
17900,"Columbia, SC",4,SC,29-1141,9800,25.402,84870,40.8,1.4,1.19
17980,"Columbus, GA-AL",4,GA,29-1141,2680,23.045,78500,37.74,1.3,1.08
18020,"Columbus, IN",4,IN,29-1141,710,14.025,77210,37.12,3.5,0.66
18140,"Columbus, OH",4,OH,29-1141,26790,24.688,89170,42.87,1.6,1.16
18580,"Corpus Christi, TX",4,TX,29-1141,4240,22.605,82990,39.9,1.8,1.06
18700,"Corvallis, OR",4,OR,29-1141,920,23.741,115340,55.45,1.4,1.12
18880,"Crestview-Fort Walton Beach-Destin, FL",4,FL,29-1141,2010,16.097,85440,41.08,3.9,0.76
19100,"Dallas-Fort Worth-Arlington, TX",4,TX,29-1141,72640,18.142,96720,46.5,2.1,0.85
19140,"Dalton, GA",4,GA,29-1141,1190,17.873,84320,40.54,3.2,0.84
19300,"Daphne-Fairhope-Foley, AL",4,AL,29-1141,1790,21.231,73150,35.17,2.1,1.0
19340,"Davenport-Moline-Rock Island, IA-IL",4,IA,29-1141,3810,21.151,75870,36.47,1.6,0.99
19430,"Dayton-Kettering-Beavercreek, OH",4,OH,29-1141,11160,29.887,87650,42.14,1.7,1.4
19460,"Decatur, AL",4,AL,29-1141,760,12.894,69030,33.19,2.8,0.61
19500,"Decatur, IL",4,IL,29-1141,800,17.689,82360,39.6,4.6,0.83
19660,"Deltona-Daytona Beach-Ormond Beach, FL",4,FL,29-1141,6220,28.529,87940,42.28,1.6,1.34
19740,"Denver-Aurora-Centennial, CO",4,CO,29-1141,29570,18.271,96860,46.57,1.8,0.86
19780,"Des Moines-West Des Moines, IA",4,IA,29-1141,7800,19.245,79650,38.3,2.4,0.9
19820,"Detroit-Warren-Dearborn, MI",4,MI,29-1141,44280,23.192,92680,44.56,1.3,1.09
20020,"Dothan, AL",4,AL,29-1141,1970,32.646,67520,32.46,2.4,1.53
20100,"Dover, DE",4,DE,29-1141,1330,19.403,90700,43.6,4.4,0.91
20220,"Dubuque, IA",4,IA,29-1141,1280,21.641,74110,35.63,1.7,1.02
20260,"Duluth, MN-WI",4,MN,29-1141,4140,33.27,85970,41.33,1.1,1.56
20500,"Durham-Chapel Hill, NC",4,NC,29-1141,13600,39.716,,,0.6,1.87
20580,"Eagle Pass, TX",4,TX,29-1141,270,14.76,81710,39.28,7.0,0.69
20740,"Eau Claire, WI",4,WI,29-1141,2410,28.281,87470,42.06,1.6,1.33
20940,"El Centro, CA",4,CA,29-1141,610,9.643,116160,55.85,2.0,0.45
21060,"Elizabethtown, KY",4,KY,29-1141,860,16.715,82250,39.55,3.2,0.79
21140,"Elkhart-Goshen, IN",4,IN,29-1141,1660,12.91,90670,43.59,1.9,0.61
21300,"Elmira, NY",4,NY,29-1141,670,20.018,84090,40.43,3.6,0.94
21340,"El Paso, TX",4,TX,29-1141,6980,20.992,87520,42.08,2.1,0.99
21420,"Enid, OK",4,OK,29-1141,730,31.019,76870,36.96,13.7,1.46
21500,"Erie, PA",4,PA,29-1141,3030,25.352,82620,39.72,1.9,1.19
21660,"Eugene-Springfield, OR",4,OR,29-1141,3390,21.537,112850,54.25,1.7,1.01
21780,"Evansville, IN",4,IN,29-1141,4270,31.606,80580,38.74,1.9,1.48
21820,"Fairbanks-College, AK",4,AK,29-1141,720,19.967,108610,52.22,5.4,0.94
22020,"Fargo, ND-MN",4,ND,29-1141,4970,33.676,82690,39.76,3.1,1.58
22140,"Farmington, NM",4,NM,29-1141,780,16.847,86600,41.64,2.7,0.79
22180,"Fayetteville, NC",4,NC,29-1141,3350,25.245,89860,43.2,1.9,1.19
22220,"Fayetteville-Springdale-Rogers, AR",4,AR,29-1141,4400,16.491,81950,39.4,2.6,0.77
22380,"Flagstaff, AZ",4,AZ,29-1141,1500,22.773,,,1.6,1.07
22420,"Flint, MI",4,MI,29-1141,3910,29.226,89720,43.13,1.3,1.37
22500,"Florence, SC",4,SC,29-1141,3060,34.035,96840,46.56,1.3,1.6
22520,"Florence-Muscle Shoals, AL",4,AL,29-1141,1340,24.075,68850,33.1,2.5,1.13
22540,"Fond du Lac, WI",4,WI,29-1141,890,19.801,86420,41.55,2.8,0.93
22660,"Fort Collins-Loveland, CO",4,CO,29-1141,4470,25.446,94740,45.55,1.2,1.2
22900,"Fort Smith, AR-OK",4,AR,29-1141,2110,21.913,74180,35.66,2.1,1.03
23060,"Fort Wayne, IN",4,IN,29-1141,6450,28.802,82880,39.85,1.3,1.35
23420,"Fresno, CA",4,CA,29-1141,10440,22.193,129730,62.37,0.9,1.04
23460,"Gadsden, AL",4,AL,29-1141,1210,36.723,69620,33.47,2.5,1.73
23540,"Gainesville, FL",4,FL,29-1141,7000,46.233,88740,42.66,0.8,2.17
23900,"Gettysburg, PA",4,PA,29-1141,450,14.113,84180,40.47,5.6,0.66
24020,"Glens Falls, NY",4,NY,29-1141,1000,19.929,93220,44.82,2.4,0.94
24140,"Goldsboro, NC",4,NC,29-1141,1020,24.984,84190,40.48,4.6,1.17
24220,"Grand Forks, ND-MN",4,ND,29-1141,1250,24.327,79630,38.29,2.4,1.14
24260,"Grand Island, NE",4,NE,29-1141,830,20.887,81710,39.28,3.2,0.98
24300,"Grand Junction, CO",4,CO,29-1141,1840,27.568,94670,45.52,2.3,1.3
24340,"Grand Rapids-Wyoming-Kentwood, MI",4,MI,29-1141,13600,24.232,85880,41.29,0.9,1.14
24420,"Grants Pass, OR",4,OR,29-1141,530,16.997,112170,53.93,4.8,0.8
24500,"Great Falls, MT",4,MT,29-1141,1000,27.175,80400,38.66,2.4,1.28
24540,"Greeley, CO",4,CO,29-1141,1020,8.865,93940,45.16,3.5,0.42
24580,"Green Bay, WI",4,WI,29-1141,4740,27.726,86880,41.77,1.6,1.3
24660,"Greensboro-High Point, NC",4,NC,29-1141,6000,16.731,87200,41.93,2.7,0.79
24780,"Greenville, NC",4,NC,29-1141,3830,47.032,89940,43.24,1.1,2.21
24860,"Greenville-Anderson-Greer, SC",4,SC,29-1141,9460,22.11,83100,39.95,1.8,1.04
25020,"Guayama, PR",4,PR,29-1141,180,15.245,39610,19.04,7.4,0.72
25060,"Gulfport-Biloxi, MS",4,MS,29-1141,3980,25.13,83050,39.93,1.1,1.18
25180,"Hagerstown-Martinsburg, MD-WV",4,MD,29-1141,2180,20.542,92170,44.31,1.3,0.97
25220,"Hammond, LA",4,LA,29-1141,1270,26.722,79340,38.14,2.4,1.26
25260,"Hanford-Corcoran, CA",4,CA,29-1141,810,17.249,138180,66.43,2.8,0.81
25420,"Harrisburg-Carlisle, PA",4,PA,29-1141,8950,27.052,90420,43.47,1.5,1.27
25500,"Harrisonburg, VA",4,VA,29-1141,1030,15.788,,,1.8,0.74
25540,"Hartford-West Hartford-East Hartford, CT",4,CT,29-1141,13850,23.364,101180,48.64,2.3,1.1
25620,"Hattiesburg, MS",4,MS,29-1141,2140,34.262,77110,37.07,2.8,1.61
25740,"Helena, MT",4,MT,29-1141,870,19.954,96090,46.2,2.0,0.94
25860,"Hickory-Lenoir-Morganton, NC",4,NC,29-1141,2950,19.025,79680,38.31,2.1,0.89
25940,"Hilton Head Island-Bluffton-Port Royal, SC",4,SC,29-1141,1420,17.407,79510,38.23,2.8,0.82
25980,"Hinesville, GA",4,GA,29-1141,270,13.286,84910,40.82,1.9,0.62
26140,"Homosassa Springs, FL",4,FL,29-1141,870,24.882,80620,38.76,3.0,1.17
26300,"Hot Springs, AR",4,AR,29-1141,1060,28.0,74090,35.62,3.6,1.32
26380,"Houma-Bayou Cane-Thibodaux, LA",4,LA,29-1141,1380,16.713,77410,37.22,3.2,0.79
26420,"Houston-Pasadena-The Woodlands, TX",4,TX,29-1141,65300,20.116,96730,46.51,1.8,0.95
26580,"Huntington-Ashland, WV-KY-OH",4,WV,29-1141,5240,37.368,82750,39.78,1.3,1.76
26620,"Huntsville, AL",4,AL,29-1141,6590,25.326,73270,35.22,2.2,1.19
26820,"Idaho Falls, ID",4,ID,29-1141,1500,18.491,82870,39.84,5.0,0.87
26900,"Indianapolis-Carmel-Greenwood, IN",4,IN,29-1141,26240,23.927,89290,42.93,1.9,1.12
26980,"Iowa City, IA",4,IA,29-1141,4050,43.86,82240,39.54,0.7,2.06
27060,"Ithaca, NY",4,NY,29-1141,870,18.061,97200,46.73,2.7,0.85
27100,"Jackson, MI",4,MI,29-1141,1410,25.034,,,1.8,1.18
27140,"Jackson, MS",4,MS,29-1141,9540,35.501,85820,41.26,5.1,1.67
27180,"Jackson, TN",4,TN,29-1141,1950,23.103,73030,35.11,2.4,1.09
27260,"Jacksonville, FL",4,FL,29-1141,18470,24.426,85930,41.31,1.7,1.15
27340,"Jacksonville, NC",4,NC,29-1141,890,16.759,78400,37.69,3.7,0.79
27500,"Janesville-Beloit, WI",4,WI,29-1141,1450,21.017,87610,42.12,1.4,0.99
27620,"Jefferson City, MO",4,MO,29-1141,1450,18.645,77260,37.14,2.0,0.88
27740,"Johnson City, TN",4,TN,29-1141,2550,31.083,76920,36.98,1.2,1.46
27780,"Johnstown, PA",4,PA,29-1141,1160,23.897,82990,39.9,3.2,1.12
27860,"Jonesboro, AR",4,AR,29-1141,1890,31.575,78280,37.64,1.5,1.48
27900,"Joplin, MO-KS",4,MO,29-1141,2470,28.401,74860,35.99,1.8,1.33
27980,"Kahului-Wailuku, HI",4,HI,29-1141,1170,16.224,124500,59.86,2.6,0.76
28020,"Kalamazoo-Portage, MI",4,MI,29-1141,3220,26.888,89450,43.01,1.9,1.26
28100,"Kankakee, IL",4,IL,29-1141,1470,34.677,86330,41.51,1.3,1.63
28140,"Kansas City, MO-KS",4,MO,29-1141,28180,25.774,85540,41.12,1.4,1.21
28420,"Kennewick-Richland, WA",4,WA,29-1141,2310,18.129,110780,53.26,2.2,0.85
28450,"Kenosha, WI",4,WI,29-1141,1560,21.102,86630,41.65,2.4,0.99
28660,"Killeen-Temple, TX",4,TX,29-1141,5440,36.585,92400,44.42,0.6,1.72
28700,"Kingsport-Bristol, TN-VA",4,TN,29-1141,2220,18.878,74140,35.65,2.1,0.89
28740,"Kingston, NY",4,NY,29-1141,1120,19.264,97410,46.83,2.2,0.91
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",4,NY,29-1141,5450,20.619,100020,48.09,2.3,0.97
28940,"Knoxville, TN",4,TN,29-1141,7970,19.067,73480,35.33,2.5,0.9
29020,"Kokomo, IN",4,IN,29-1141,780,21.829,83290,40.04,4.5,1.03
29100,"La Crosse-Onalaska, WI-MN",4,WI,29-1141,2780,33.45,97640,46.94,0.8,1.57
29180,"Lafayette, LA",4,LA,29-1141,4680,26.638,80840,38.87,4.9,1.25
29200,"Lafayette-West Lafayette, IN",4,IN,29-1141,1900,18.621,81970,39.41,1.5,0.87
29340,"Lake Charles, LA",4,LA,29-1141,2610,26.066,84950,40.84,1.6,1.22
29420,"Lake Havasu City-Kingman, AZ",4,AZ,29-1141,1040,18.79,91030,43.76,2.7,0.88
29460,"Lakeland-Winter Haven, FL",4,FL,29-1141,5840,22.328,81910,39.38,1.0,1.05
29540,"Lancaster, PA",4,PA,29-1141,5120,20.447,88090,42.35,1.9,0.96
29620,"Lansing-East Lansing, MI",4,MI,29-1141,3560,16.687,89640,43.1,1.6,0.78
29700,"Laredo, TX",4,TX,29-1141,1670,15.782,79370,38.16,3.8,0.74
29740,"Las Cruces, NM",4,NM,29-1141,1320,16.874,86830,41.74,4.3,0.79
29820,"Las Vegas-Henderson-North Las Vegas, NV",4,NV,29-1141,20790,18.575,102400,49.23,2.5,0.87
29940,"Lawrence, KS",4,KS,29-1141,790,15.447,78070,37.53,2.8,0.73
30020,"Lawton, OK",4,OK,29-1141,840,19.792,90700,43.61,1.5,0.93
30140,"Lebanon, PA",4,PA,29-1141,1240,23.237,96290,46.29,1.3,1.09
30300,"Lewiston, ID-WA",4,ID,29-1141,710,25.527,90890,43.7,2.0,1.2
30340,"Lewiston-Auburn, ME",4,ME,29-1141,1270,26.246,89290,42.93,2.8,1.23
30460,"Lexington-Fayette, KY",4,KY,29-1141,8110,28.664,85240,40.98,1.5,1.35
30500,"Lexington Park, MD",4,MD,29-1141,920,12.836,89120,42.84,1.9,0.6
30620,"Lima, OH",4,OH,29-1141,1700,34.265,79890,38.41,1.7,1.61
30700,"Lincoln, NE",4,NE,29-1141,4190,23.185,81210,39.04,6.1,1.09
30780,"Little Rock-North Little Rock-Conway, AR",4,AR,29-1141,11220,31.807,81120,39.0,1.3,1.49
30860,"Logan, UT-ID",4,UT,29-1141,800,11.98,84690,40.72,1.9,0.56
30980,"Longview, TX",4,TX,29-1141,2020,17.161,82720,39.77,3.7,0.81
31020,"Longview-Kelso, WA",4,WA,29-1141,790,19.194,110300,53.03,1.3,0.9
31080,"Los Angeles-Long Beach-Anaheim, CA",4,CA,29-1141,107340,17.313,138010,66.35,1.2,0.81
31140,"Louisville/Jefferson County, KY-IN",4,KY,29-1141,17300,25.221,87480,42.06,1.7,1.18
31180,"Lubbock, TX",4,TX,29-1141,4590,27.749,83400,40.1,1.6,1.3
31340,"Lynchburg, VA",4,VA,29-1141,2490,25.584,82940,39.88,2.1,1.2
31420,"Macon-Bibb County, GA",4,GA,29-1141,2950,31.034,83090,39.95,1.6,1.46
31540,"Madison, WI",4,WI,29-1141,9990,24.644,95860,46.09,1.2,1.16
31700,"Manchester-Nashua, NH",4,NH,29-1141,5160,25.482,92050,44.26,3.6,1.2
31740,"Manhattan, KS",4,KS,29-1141,760,14.441,77420,37.22,2.5,0.68
31860,"Mankato, MN",4,MN,29-1141,1460,26.32,96460,46.38,3.9,1.24
31900,"Mansfield, OH",4,OH,29-1141,1140,23.186,83190,39.99,1.8,1.09
32420,"Mayaguez, PR",4,PR,29-1141,2170,41.647,37670,18.11,4.2,1.96
32580,"McAllen-Edinburg-Mission, TX",4,TX,29-1141,5660,19.477,76480,36.77,3.2,0.92
32780,"Medford, OR",4,OR,29-1141,2370,26.693,110600,53.17,2.7,1.25
32820,"Memphis, TN-MS-AR",4,TN,29-1141,13570,21.887,84850,40.79,1.7,1.03
32900,"Merced, CA",4,CA,29-1141,930,11.779,125910,60.53,2.6,0.55
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",4,FL,29-1141,59880,21.523,92070,44.26,1.7,1.01
33140,"Michigan City-La Porte, IN",4,IN,29-1141,830,20.033,79330,38.14,2.4,0.94
33260,"Midland, TX",4,TX,29-1141,1080,9.096,89060,42.82,3.0,0.43
33340,"Milwaukee-Waukesha, WI",4,WI,29-1141,21950,26.791,91040,43.77,2.1,1.26
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",4,MN,29-1141,40510,20.974,102790,49.42,2.4,0.99
33500,"Minot, ND",4,ND,29-1141,690,20.656,79310,38.13,2.9,0.97
33540,"Missoula, MT",4,MT,29-1141,1540,23.091,86430,41.55,3.3,1.08
33660,"Mobile, AL",4,AL,29-1141,5200,30.776,74720,35.92,1.8,1.45
33700,"Modesto, CA",4,CA,29-1141,5260,27.059,154140,74.11,1.0,1.27
33740,"Monroe, LA",4,LA,29-1141,2290,26.221,77760,37.38,4.3,1.23
33780,"Monroe, MI",4,MI,29-1141,690,16.964,90750,43.63,3.5,0.8
33860,"Montgomery, AL",4,AL,29-1141,3720,22.788,84850,40.79,2.7,1.07
34060,"Morgantown, WV",4,WV,29-1141,4250,63.496,77880,37.44,0.6,2.98
34100,"Morristown, TN",4,TN,29-1141,680,14.141,75860,36.47,4.5,0.66
34580,"Mount Vernon-Anacortes, WA",4,WA,29-1141,1120,21.758,106030,50.98,1.2,1.02
34620,"Muncie, IN",4,IN,29-1141,1210,27.084,81220,39.05,2.0,1.27
34740,"Muskegon-Norton Shores, MI",4,MI,29-1141,1720,27.507,79930,38.43,1.2,1.29
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",4,SC,29-1141,3110,21.542,80040,38.48,1.4,1.01
34900,"Napa, CA",4,CA,29-1141,1570,20.04,,,1.3,0.94
34940,"Naples-Marco Island, FL",4,FL,29-1141,2910,17.024,93590,45.0,2.3,0.8
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",4,TN,29-1141,24460,22.312,88840,42.71,2.2,1.05
35300,"New Haven, CT",4,CT,29-1141,9140,32.205,105960,50.94,1.2,1.51
35380,"New Orleans-Metairie, LA",4,LA,29-1141,11410,25.862,89700,43.12,2.0,1.21
35620,"New York-Newark-Jersey City, NY-NJ",4,NY,29-1141,195470,20.877,115650,55.6,1.1,0.98
35660,"Niles, MI",4,MI,29-1141,1440,24.162,94830,45.59,0.9,1.14
35840,"North Port-Bradenton-Sarasota, FL",4,FL,29-1141,7760,23.197,85240,40.98,2.0,1.09
35980,"Norwich-New London-Willimantic, CT",4,CT,29-1141,2440,19.575,98640,47.42,1.9,0.92
36100,"Ocala, FL",4,FL,29-1141,3050,25.695,79640,38.29,2.9,1.21
36220,"Odessa, TX",4,TX,29-1141,1120,14.117,82800,39.81,2.0,0.66
36260,"Ogden, UT",4,UT,29-1141,3860,14.265,83560,40.18,1.8,0.67
36420,"Oklahoma City, OK",4,OK,29-1141,13980,20.886,85880,41.29,1.9,0.98
36500,"Olympia-Lacey-Tumwater, WA",4,WA,29-1141,2140,16.827,109840,52.81,2.5,0.79
36540,"Omaha, NE-IA",4,NE,29-1141,12860,26.184,84960,40.84,1.8,1.23
36740,"Orlando-Kissimmee-Sanford, FL",4,FL,29-1141,28020,20.05,86460,41.57,1.9,0.94
36780,"Oshkosh-Neenah, WI",4,WI,29-1141,1910,20.423,86350,41.51,1.9,0.96
36980,"Owensboro, KY",4,KY,29-1141,1660,34.111,81570,39.22,1.6,1.6
37100,"Oxnard-Thousand Oaks-Ventura, CA",4,CA,29-1141,5430,16.95,132600,63.75,4.3,0.8
37140,"Paducah, KY-IL",4,KY,29-1141,1630,32.235,81430,39.15,2.3,1.51
37340,"Palm Bay-Melbourne-Titusville, FL",4,FL,29-1141,5160,21.294,81470,39.17,2.0,1.0
37460,"Panama City-Panama City Beach, FL",4,FL,29-1141,1600,18.231,83320,40.06,1.5,0.86
37620,"Parkersburg-Vienna, WV",4,WV,29-1141,900,24.202,75810,36.45,2.7,1.14
37860,"Pensacola-Ferry Pass-Brent, FL",4,FL,29-1141,5730,30.36,83040,39.92,1.9,1.43
37900,"Peoria, IL",4,IL,29-1141,6020,36.433,83830,40.3,1.6,1.71
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4,PA,29-1141,74840,26.087,97510,46.88,1.4,1.23
38060,"Phoenix-Mesa-Chandler, AZ",4,AZ,29-1141,46330,19.77,96220,46.26,2.3,0.93
38240,"Pinehurst-Southern Pines, NC",4,NC,29-1141,1780,44.417,79080,38.02,1.8,2.09
38300,"Pittsburgh, PA",4,PA,29-1141,29560,26.65,86040,41.36,2.2,1.25
38340,"Pittsfield, MA",4,MA,29-1141,1280,22.272,101010,48.56,3.9,1.05
38540,"Pocatello, ID",4,ID,29-1141,730,19.51,82460,39.65,3.2,0.92
38660,"Ponce, PR",4,PR,29-1141,2010,31.505,38640,18.58,3.5,1.48
38860,"Portland-South Portland, ME",4,ME,29-1141,6660,23.427,88090,42.35,2.8,1.1
38900,"Portland-Vancouver-Hillsboro, OR-WA",4,OR,29-1141,24930,20.54,123580,59.41,2.0,0.96
38940,"Port St. Lucie, FL",4,FL,29-1141,4350,25.939,86740,41.7,1.8,1.22
39150,"Prescott Valley-Prescott, AZ",4,AZ,29-1141,1470,20.732,106740,51.32,2.3,0.97
39300,"Providence-Warwick, RI-MA",4,RI,29-1141,15770,22.325,99520,47.85,1.7,1.05
39340,"Provo-Orem-Lehi, UT",4,UT,29-1141,3710,12.436,84730,40.74,2.6,0.58
39380,"Pueblo, CO",4,CO,29-1141,1910,30.541,90290,43.41,2.1,1.43
39460,"Punta Gorda, FL",4,FL,29-1141,1480,26.496,87070,41.86,3.5,1.24
