Facility ID,Facility Name,State,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Safety Group Measure Count,READM Group Measure Count,Pt Exp Group Measure Count,TE Group Measure Count
010091,GROVE HILL MEMORIAL HOSPITAL,AL,36451,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12
010092,DCH REGIONAL MEDICAL CENTER,AL,35401,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,1.0,,7,8,11,8,12
010095,HALE COUNTY HOSPITAL,AL,36744,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12
010097,ELMORE COMMUNITY HOSPITAL,AL,36092,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,36426,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,16,7,8,11,8,12
010100,THOMAS HOSPITAL,AL,36532,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,35160,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12
010102,J PAUL JONES HOSPITAL,AL,36726,Acute Care Hospitals,Government - Local,Yes,,,16,7,8,11,8,12
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,35211,Acute Care Hospitals,Voluntary non-profit - Church,Yes,,3.0,,7,8,11,8,12
010104,GRANDVIEW MEDICAL CENTER,AL,35243,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
010108,PRATTVILLE BAPTIST HOSPITAL,AL,36067,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,3.0,,7,8,11,8,12
010110,BULLOCK COUNTY HOSPITAL,AL,36089,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12
010112,WHITFIELD REGIONAL HOSPITAL,AL,36732,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,36607,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,35022,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2.0,,7,8,11,8,12
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,36701,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
010120,MONROE COUNTY HOSPITAL,AL,36460,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12
010125,LAKELAND COMMUNITY HOSPITAL,AL,35565,Acute Care Hospitals,Proprietary,Yes,,4.0,,7,8,11,8,12
010126,TROY REGIONAL MEDICAL CENTER,AL,36081,Acute Care Hospitals,Government - Federal,Yes,,,16,7,8,11,8,12
010128,JACKSON MEDICAL CENTER,AL,36545,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12
010129,NORTH BALDWIN INFIRMARY,AL,36507,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,16,7,8,11,8,12
010130,ST VINCENT'S ST CLAIR,AL,35125,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3.0,,7,8,11,8,12
010131,CRESTWOOD MEDICAL CENTER,AL,35801,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
010138,HILL HOSPITAL OF SUMTER COUNTY,AL,36925,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12
010139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,35216,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
010144,SPRINGHILL MEDICAL CENTER,AL,36608,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
010148,EVERGREEN MEDICAL CENTER,AL,36401,Acute Care Hospitals,Proprietary,Yes,,2.0,,7,8,11,8,12
010149,BAPTIST MEDICAL CENTER EAST,AL,36117,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4.0,,7,8,11,8,12
01014F,BIRMINGHAM VA MEDICAL CENTER,AL,35233,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5.0,,7,8,11,8,12
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,36037,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12
010157,NORTH ALABAMA SHOALS HOSPITAL,AL,35661,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12
010158,RUSSELLVILLE HOSPITAL,AL,35653,Acute Care Hospitals,Proprietary,Yes,,2.0,,7,8,11,8,12
010164,COOSA VALLEY MEDICAL CENTER,AL,35150,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,,7,8,11,8,12
010168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,36867,Acute Care Hospitals,Government - State,Yes,,,16,7,8,11,8,12
010169,ATMORE COMMUNITY HOSPITAL,AL,36502,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12
010173,ST VINCENT'S CHILTON,AL,35045,Acute Care Hospitals,Voluntary non-profit - Church,Yes,,,16,7,8,11,8,12
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,AL,36109,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5.0,,7,8,11,8,12
01021F,TUSCALOOSA VA MEDICAL CENTER,AL,35404,Acute Care - Veterans Administration,Veterans Health Administration,No,,,16,7,8,11,8,12
010779,BULLOCK COUNTY HOSPITAL,AL,36089,Rural Emergency Hospital,Proprietary,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
010780,EAMC - LANIER,AL,36854,Rural Emergency Hospital,Government - Hospital District or Authority,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
011300,WASHINGTON COUNTY HOSPITAL,AL,36518,Critical Access Hospitals,Government - Local,Yes,,,16,7,8,11,8,12
011302,RED BAY HOSPITAL,AL,35582,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12
011304,OCHSNER CHOCTAW GENERAL,AL,36904,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12
011305,ST VINCENTS BLOUNT,AL,35121,Critical Access Hospitals,Voluntary non-profit - Private,No,,,16,7,8,11,8,12
011306,TANNER MEDICAL CENTER-EAST ALABAMA,AL,36278,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,16,7,8,11,8,12
011307,MEDICAL CENTER BARBOUR,AL,36027,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,5,Not Available,Not Available,Not Available,Not Available,Not Available
011308,CRENSHAW COMMUNITY HOSPITAL,AL,36049,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
011309,WIREGRASS MEDICAL CENTER,AL,36340,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
013300,THE CHILDREN'S HOSPITAL OF ALABAMA,AL,35233,Childrens,Voluntary non-profit - Private,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,AL,36604,Childrens,Government - State,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
014000,HILL CREST BEHAVIORAL HEALTH SERVICES,AL,35212,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
014006,MOUNTAIN VIEW HOSPITAL,AL,35902,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
014007,BRYCE HOSPITAL,AL,35404,Psychiatric,Government - State,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
014012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,AL,35401,Psychiatric,Government - State,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
014014,BAYPOINTE BEHAVIORAL HEALTH,AL,36693,Psychiatric,Voluntary non-profit - Other,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
014015,BEACON CHILDREN'S HOSPITAL,AL,36049,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
014016,"SANCTUARY AT THE WOODLANDS, THE",AL,35055,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
014017,EASTPOINTE HOSPITAL,AL,36526,Psychiatric,Voluntary non-profit - Other,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
014018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,AL,35806,Psychiatric,Proprietary,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
020001,PROVIDENCE ALASKA MEDICAL CENTER,AK,99508,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3.0,,7,8,11,8,12
020006,MAT-SU REGIONAL MEDICAL CENTER,AK,99645,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,3.0,,7,8,11,8,12
020008,BARTLETT REGIONAL HOSPITAL,AK,99801,Acute Care Hospitals,Government - Local,Yes,Y,5.0,,7,8,11,8,12
020012,FAIRBANKS MEMORIAL HOSPITAL,AK,99701,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12
020017,ALASKA REGIONAL HOSPITAL,AK,99508,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,99559,Acute Care Hospitals,Tribal,Yes,Y,,16,7,8,11,8,12
020024,CENTRAL PENINSULA GENERAL HOSPITAL,AK,99669,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,1.0,,7,8,11,8,12
020026,ALASKA NATIVE MEDICAL CENTER,AK,99508,Acute Care Hospitals,Government - Federal,Yes,Y,3.0,,7,8,11,8,12
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),AK,99506,Acute Care - Department of Defense,Department of Defense,Yes,,,22,Not Available,Not Available,Not Available,Not Available,Not Available
02014F,Bassett ACH (FT Wainwright),AK,99703,Acute Care - Department of Defense,Department of Defense,Yes,,,22,Not Available,Not Available,Not Available,Not Available,Not Available
021301,PROVIDENCE VALDEZ MEDICAL CENTER,AK,99686,Critical Access Hospitals,Government - Local,Yes,Y,,16,7,8,11,8,12
021302,PROVIDENCE SEWARD HOSPITAL,AK,99664,Critical Access Hospitals,Government - Local,Yes,,,16,7,8,11,8,12
021304,PETERSBURG MEDICAL CENTER,AK,99833,Critical Access Hospitals,Government - Local,Yes,,,16,7,8,11,8,12
021305,SEARHC WRANGELL MEDICAL CENTER-CAH,AK,99929,Critical Access Hospitals,Tribal,Yes,,,16,7,8,11,8,12
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,AK,99615,Critical Access Hospitals,Voluntary non-profit - Church,Yes,,,16,7,8,11,8,12
021307,CORDOVA COMMUNITY MEDICAL CENTER,AK,99574,Critical Access Hospitals,Government - Local,Yes,,,16,7,8,11,8,12
021308,NORTON SOUND REGIONAL HOSPITAL,AK,99762,Critical Access Hospitals,Tribal,Yes,Y,,16,7,8,11,8,12
021309,BRISTOL BAY AREA HEALTH CORPORATION,AK,99576,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16,7,8,11,8,12
021310,MANIILAQ HEALTH CENTER,AK,99752,Critical Access Hospitals,Tribal,Yes,,,16,7,8,11,8,12
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,99901,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,,16,7,8,11,8,12
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,99723,Critical Access Hospitals,Tribal,Yes,,,16,7,8,11,8,12
021313,SOUTH PENINSULA HOSPITAL,AK,99603,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,16,7,8,11,8,12
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,AK,99835,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,3.0,,7,8,11,8,12
024001,NORTH STAR HOSPITAL,AK,99508,Psychiatric,Proprietary,Yes,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
024002,ALASKA PSYCHIATRIC INSTITUTE,AK,99508,Psychiatric,Government - State,No,,,19,Not Available,Not Available,Not Available,Not Available,Not Available
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,85006,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3.0,,7,8,11,8,12
030006,TUCSON MEDICAL CENTER,AZ,85712,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12
030007,VERDE VALLEY MEDICAL CENTER,AZ,86326,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12
030010,ST. MARY'S HOSPITAL,AZ,85745,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3.0,,7,8,11,8,12
030011,ST JOSEPH'S HOSPITAL,AZ,85711,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2.0,,7,8,11,8,12
030012,YAVAPAI REGIONAL MEDICAL CENTER,AZ,86301,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12
030013,YUMA REGIONAL MEDICAL CENTER,AZ,85364,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12
030014,HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,AZ,85020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3.0,,7,8,11,8,12
030016,BANNER CASA GRANDE MEDICAL CENTER,AZ,85122,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2.0,,7,8,11,8,12
030022,VALLEYWISE HEALTH MEDICAL CENTER,AZ,85008,Acute Care Hospitals,Government - Local,No,Y,3.0,,7,8,11,8,12
030023,FLAGSTAFF MEDICAL CENTER,AZ,86001,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12
030024,ST JOSEPHS HOSPITAL AND MEDICAL CENTER,AZ,85013,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3.0,,7,8,11,8,12
030030,ABRAZO CENTRAL CAMPUS,AZ,85015,Acute Care Hospitals,Physician,Yes,,2.0,,7,8,11,8,12
030036,CHANDLER REGIONAL MEDICAL CENTER,AZ,85224,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12
030037,HONORHEALTH TEMPE MEDICAL CENTER,AZ,85006,Acute Care Hospitals,Proprietary,Yes,,,16,7,8,11,8,12
030038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,AZ,85251,Acute Care Hospitals,Proprietary,Yes,,3.0,,7,8,11,8,12
030043,CANYON VISTA MEDICAL CENTER,AZ,85635,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2.0,,7,8,11,8,12
030055,KINGMAN REGIONAL MEDICAL CENTER,AZ,86401,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4.0,,7,8,11,8,12
030061,BANNER BOSWELL MEDICAL CENTER,AZ,85351,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,3.0,,7,8,11,8,12
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,85901,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,,7,8,11,8,12
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,85719,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12
030065,BANNER DESERT MEDICAL CENTER,AZ,85202,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,7,8,11,8,12
030069,HAVASU REGIONAL MEDICAL CENTER,AZ,86403,Acute Care Hospitals,Proprietary,Yes,Y,3.0,,7,8,11,8,12
030071,FORT DEFIANCE INDIAN HOSPITAL,AZ,86504,Acute Care Hospitals,Tribal,Yes,Y,,16,7,8,11,8,12
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,86045,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,,16,7,8,11,8,12
030074,SELLS HOSPITAL,AZ,85634,Acute Care Hospitals,Tribal,Yes,,,16,7,8,11,8,12
030078,PHOENIX INDIAN MEDICAL CENTER,AZ,85016,Acute Care Hospitals,Government - Federal,No,,,16,7,8,11,8,12
030083,ABRAZO SCOTTSDALE CAMPUS,AZ,85032,Acute Care Hospitals,Proprietary,Yes,,2.0,,7,8,11,8,12
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,AZ,86503,Acute Care Hospitals,Government - Federal,Yes,Y,,16,7,8,11,8,12
030085,NORTHWEST MEDICAL CENTER,AZ,85741,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
030087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,AZ,85260,Acute Care Hospitals,Proprietary,Yes,Y,3.0,,7,8,11,8,12
030088,BANNER BAYWOOD MEDICAL CENTER,AZ,85206,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2.0,,7,8,11,8,12
030089,BANNER THUNDERBIRD MEDICAL CENTER,AZ,85306,Acute Care Hospitals,Government - Hospital District or Authority,No,Y,3.0,,7,8,11,8,12
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,AZ,85027,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2.0,,7,8,11,8,12
030093,BANNER DEL E. WEBB MEDICAL CENTER,AZ,85375,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12
030094,ABRAZO ARROWHEAD HOSPITAL,AZ,85308,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
030101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,86442,Acute Care Hospitals,Proprietary,Yes,,2.0,,7,8,11,8,12
030103,MAYO CLINIC HOSPITAL,AZ,85054,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5.0,,7,8,11,8,12
030105,BANNER HEART HOSPITAL,AZ,85206,Acute Care Hospitals,Voluntary non-profit - Private,No,,3.0,,7,8,11,8,12
030107,ARIZONA SPINE AND JOINT HOSPITAL,AZ,85206,Acute Care Hospitals,Physician,No,,,16,7,8,11,8,12
030108,THE CORE INSTITUTE SPECIALTY HOSP,AZ,85015,Acute Care Hospitals,Physician,No,,,16,7,8,11,8,12
030110,ABRAZO WEST CAMPUS,AZ,85395,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,AZ,85713,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3.0,,7,8,11,8,12
030112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,AZ,85008,Acute Care Hospitals,Proprietary,No,,,16,7,8,11,8,12
030113,WHITERIVER PHS INDIAN HOSPITAL,AZ,85941,Acute Care Hospitals,Government - Federal,No,Y,,16,7,8,11,8,12
030114,ORO VALLEY HOSPITAL,AZ,85755,Acute Care Hospitals,Proprietary,Yes,,3.0,,7,8,11,8,12
030115,BANNER ESTRELLA MEDICAL CENTER,AZ,85037,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12
030117,VALLEY VIEW MEDICAL CENTER,AZ,86426,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
030119,MERCY GILBERT MEDICAL CENTER,AZ,85297,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5.0,,7,8,11,8,12
030121,HONORHEALTH MOUNTAIN VISTA MEDICAL CENTER,AZ,85209,Acute Care Hospitals,Proprietary,Yes,Y,2.0,,7,8,11,8,12
030122,BANNER GATEWAY MEDICAL CENTER,AZ,85234,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4.0,,7,8,11,8,12
030123,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,AZ,85255,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,4.0,,7,8,11,8,12
03012F,PHOENIX VA MEDICAL CENTER,AZ,85012,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5.0,,7,8,11,8,12
030130,BANNER IRONWOOD MEDICAL CENTER,AZ,85140,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,7,8,11,8,12
030134,BANNER GOLDFIELD MEDICAL CENTER,AZ,85120,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,,16,7,8,11,8,12
030136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,AZ,85339,Acute Care Hospitals,Proprietary,No,,,16,7,8,11,8,12
030138,WESTERN REGIONAL MEDICAL CENTER,AZ,85338,Acute Care Hospitals,Proprietary,No,,5.0,,7,8,11,8,12
030139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,AZ,85212,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3.0,,7,8,11,8,12
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,AZ,85723,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,4.0,,7,8,11,8,12
